identifier,lat,lon
B109,49.1990607,12.5243201
B110,49.9122701,18.9966788
B111,49.9240742,19.0015517
B112,51.0809936,13.7585770
B113,49.0002577,12.1220467
B114,51.0976517,16.9512665
B115,50.0891712,14.4400521
B116,50.7394141,12.4954919
B117,51.0492105,13.7584454
B118,51.0911588,17.0374952
B119,50.2927114,18.6632094
B120,50.8193885,16.2788264
B121,51.0393024,13.7213336
B122,51.0874573,17.0417983
B123,48.5392944,12.1567801
B124,51.0854386,17.0039746
B125,50.1406807,18.6344948
B126,50.1391782,18.6200635
B127,51.0893090,16.9995595
B128,50.0533376,14.5193751
B129,50.1127139,18.9629374
B130,50.3038702,18.7845575
B131,51.0375020,13.7791036
B132,50.8584525,12.7635874
B133,50.2791286,19.0052452
B134,50.0945826,18.5349722
B135,50.1100821,14.5007910
B136,50.9046168,13.3366233
B137,48.8005470,13.5489487
B138,51.0755908,17.0427980
B139,50.3211267,19.0700301
B140,50.2535892,19.0393961
B141,50.2454250,19.0378350
B142,50.2438904,19.0234316
B143,50.3416178,18.9317265
B144,50.2771139,18.9762512
B145,51.0488279,16.1984127
B146,50.6306547,12.3101421
B147,49.1965337,12.0580785
B148,50.2720934,18.9970344
B149,50.0427322,18.6860325
B150,49.4535034,17.4567869
B151,50.2486207,19.0813551
B152,51.0452876,13.6692491
B153,49.9819258,18.2684712
B154,50.3020305,19.0183019
B155,50.2198273,18.9907488
B156,50.8252231,19.0995655
B157,50.9102663,15.7372106
B158,50.2688350,19.0614034
B159,49.8114625,18.9999626
B160,50.2988908,19.0278670
B161,50.0951746,18.5315823
B162,50.1247938,18.5244043
B163,50.4594409,17.3453199
B164,50.4644484,17.3453286
B165,50.4677076,17.3420298
B166,50.8775279,18.4303561
B167,50.1268803,18.9720880
B168,50.1572343,18.9092682
B169,50.1235676,18.9860271
B170,50.7353044,15.1605424
B171,50.3049416,18.9170965
B172,50.0902270,18.2602612
B173,50.5064615,18.2870599
B174,50.2382106,18.6581767
B175,50.2345219,18.6635676
B176,50.3039060,18.9227314
B177,50.0803413,14.3913045
B178,50.0970133,14.3546430
B179,50.0770676,14.3396964
B180,50.6803298,14.5405928
B181,50.5397133,12.7857321
B182,51.0776438,17.7246966
B183,48.9088975,12.6880844
B184,50.4433268,18.8291548
B185,49.7934007,19.0569328
B186,49.8028182,19.0518165
B187,49.8057516,19.0563762
B188,49.8039080,19.0435606
B189,49.8106805,19.0562005
B190,49.8028011,19.0316616
B191,50.9806508,14.6658090
B192,50.0525261,18.7078807
B193,50.6721997,18.9039745
B194,49.1742437,16.5823506
B195,51.0559660,13.5334780
B196,50.1373650,18.9759311
B197,50.1255183,18.9756548
B198,50.7121387,12.7610084
B199,50.8243501,15.5223121
B200,49.7188551,18.8077746
B201,51.0288616,13.7947969
B202,50.5887854,16.8296829
B203,50.6541277,12.2088944
B204,51.0947588,16.9330309
B205,49.9519620,18.6068869
B206,50.0202419,18.1277301
B207,50.2918946,18.9174099
B208,50.0463662,14.3056900
B209,51.0782712,16.9587131
B210,49.6816399,12.1571466
B211,50.2762341,19.0176126
B212,48.7864562,18.6284680
B213,51.0744385,13.6906275
B214,50.8629466,17.4596019
B215,50.2241305,18.6681687
B216,50.1019872,19.0296705
B217,50.0986266,19.0091302
B218,50.2834368,18.9121217
B219,50.2912805,19.0058610
B220,50.0628690,14.4436573
B221,51.0821920,17.0462204
B222,50.2636820,19.0048118
B223,50.6686961,18.6850952
B224,50.2666902,18.8827318
B225,50.3655675,18.7967614
B226,50.0776750,14.4611679
B227,50.8416072,16.5066821
B228,49.0281290,12.1217387
B229,50.0808205,18.1929143
B230,50.0812260,18.2066244
B231,49.9760123,18.9578196
B232,49.9730572,18.9428995
B233,49.8224719,19.0701164
B234,51.0926429,17.0313134
B235,50.2643900,18.9368700
B236,51.0948592,17.0283279
B237,51.0929539,17.1925378
B238,51.0155835,13.7641632
B239,50.3131435,19.0226835
B240,50.7299136,19.0106714
B241,51.0748398,17.0333355
B242,51.0146773,13.7893344
B243,51.0828591,16.9694649
B244,49.8164652,19.0272431
B245,51.0440857,13.6996024
B246,50.2758265,18.9081727
B247,50.2739139,18.9270251
B248,50.3075027,18.9739929
B249,50.0089255,18.4589276
B250,50.0134566,18.4707439
B251,50.0103883,18.4672094
B252,50.0121879,18.4594567
B253,50.8011090,12.8990711
B254,50.0227287,18.4606373
B255,50.0052102,18.4741358
B256,51.0948974,16.9914844
B257,50.8129462,12.9567978
B258,50.2754965,18.8942883
B259,50.7924892,12.9055689
B260,50.8330986,12.8824694
B261,50.2810358,18.8172541
B262,50.2459874,18.8401981
B263,51.0808682,13.7307709
B264,51.0192176,13.7358571
B265,50.6678346,18.6921223
B266,50.6705688,18.7054558
B267,50.6709002,18.6737629
B268,50.6787715,18.6784449
B269,50.9083593,15.3326163
B270,51.0938999,16.9789106
B271,50.6869178,17.7539045
B272,50.2845001,18.8775570
B273,51.0484449,16.9637931
B274,50.3170238,18.8512054
B275,50.3143182,18.8542016
B276,50.3077710,18.8573702
B277,50.3001574,18.8529587
B278,50.3007446,18.8467724
B279,50.5986644,17.0366619
B280,50.2781096,19.0097143
B281,50.2725553,18.9300966
B282,49.0285502,12.0994524
B283,50.0890185,18.5778099
B284,50.2717029,19.0080645
B285,51.0953347,17.0089475
B286,49.9896815,18.5610130
B287,50.0136977,18.3764874
B288,50.0143754,18.3303680
B289,49.9905823,18.3531580
B290,49.9301708,18.3193579
B291,49.9566712,18.4000147
B292,49.9740390,18.4441453
B293,50.0005672,18.4426586
B294,49.9961652,18.4584233
B295,49.9781403,18.5033971
B296,49.9774253,18.5012972
B297,51.0521175,17.0317483
B298,50.1958653,17.8358445
B299,50.8296219,12.9403603
B300,50.2626078,19.0971144
B301,50.4415104,16.2401576
B302,50.4177129,12.1732180
B303,51.0502130,13.6611204
B304,51.0295847,13.7483685
B305,50.2729839,18.8752976
B306,50.2761961,18.9410321
B307,49.9144044,18.7482369
B308,49.9161293,18.7602671
B309,50.0977362,18.9902186
B310,50.1292942,18.9709621
B311,50.1252364,19.0096724
B312,50.1098375,18.9784256
B313,50.1004767,19.0091302
